Метка;Группа;Цвет;Размер;Материал;Утеплитель;Подкладка;Силуэт;Длина изделия;Рукав;Длина рукава;Застежка;Капюшон;Воротник;Пояс;Карманы;Кокетка;Уход
Белые женские пальто;Женские пальто, Свадебные пальто;Белый, Молочный;;;;;;;;;;;;;;;
Бежевые женские пальто;Женские пальто;Айвори, Бежевый, Капучино, Карамельный, Кирпичный, Голд, Крем, Кремовый, Молочный, Пудра, Золотой;;;;;;;;;;;;;;;
Бирюзовые женские пальто;Женские пальто;Бирюзовый;;;;;;;;;;;;;;;
Бордовые женские пальто;Женские пальто;Бордовый;;;;;;;;;;;;;;;
Голубые женские пальто;Женские пальто;Голубой, Серо-голубой;;;;;;;;;;;;;;;
Горчичные женские пальто;Женские пальто;Горчичный;;;;;;;;;;;;;;;
Зеленые женские пальто;Женские пальто;Хаки, Зеленый, Изумрудный, Оливковый, Болотный;;;;;;;;;;;;;;;
Коричневые женские пальто;Женские пальто;Капучино, Кирпичный, Коричневый;;;;;;;;;;;;;;;
Женские пальто черного цвета;Женские пальто;Черный;;;;;;;;;;;;;;;
Светлые женские пальто;Женские пальто;Светло, Айвори, Бежевый, Бежевый, Капучино, Карамельный, Кирпичный, Голд, Крем, Кремовый, Молочный, Пудра, Золотой;;;;;;;;;;;;;;;
Серые женские пальто;Женские пальто;Графит, Антрацит, Пепел, Серебро, Серо-голубой, Серый;;;;;;;;;;;;;;;
Синие женские пальто;Женские пальто;Синий;;;;;;;;;;;;;;;
Сиреневые женские пальто;Женские пальто;Сиреневый;;;;;;;;;;;;;;;
Фиолетовые женские пальто;Женские пальто;Винный, Фиолетовый;;;;;;;;;;;;;;;
Женские пальто цвета марсала;Женские пальто;Бордовый, Винный, Вишня, Марсала;;;;;;;;;;;;;;;
Красные женские пальто;Женские пальто;Бордовый, Вишня, Кирпичный, Коралловый, Красный, Малиновый;;;;;;;;;;;;;;;
Желтые женские пальто;Женские пальто;Желтый, Желтая клетка;;;;;;;;;;;;;;;
Розовые женские пальто;Женские пальто;Малиновый, Розовый, Пудра;;;;;;;;;;;;;;;
Женские пальто цвета хаки;Женские пальто;Хаки, Болотный;;;;;;;;;;;;;;;
Женские пальто болотного цвета;Женские пальто;Болотный, Хаки;;;;;;;;;;;;;;;
Оранжевые женские пальто;Женские пальто;Коралловый, Оранжевый, Персиковый, Золотой;;;;;;;;;;;;;;;
Женские пальто ёлочкой;Женские пальто;Ёлочка;;;;;;;;;;;;;;;
Женские пальто в клетку;Женские пальто;Клетка;;;;;;;;;;;;;;;
Серебряные женские пальто;Женские пальто;Серебро;;;;;;;;;;;;;;;
Золотые женские пальто;Женские пальто;Золотой;;;;;;;;;;;;;;;
Твидовые женские пальто;Женские пальто;Твид ;;;;;;;;;;;;;;;
Белые мужские пальто;Мужские пальто;Белый, Молочный;;;;;;;;;;;;;;;
Бежевые мужские пальто;Мужские пальто;Айвори, Бежевый, Капучино, Карамельный, Кирпичный, Голд, Крем, Кремовый, Молочный, Пудра, Золотой;;;;;;;;;;;;;;;
Бирюзовые мужские пальто;Мужские пальто;Бирюзовый;;;;;;;;;;;;;;;
Бордовые мужские пальто;Мужские пальто;Бордовый;;;;;;;;;;;;;;;
